"labels","text"
"Present","I always smoke so if I burn amp you w me we obviously smoking together it's g but don't expect to smoke out you literally every time"
"Present","I am #vaping my 6 dollar fake Kennedy on an eleaf 200watt somethong or other In case you were wondering"
"Present","I am an hookah enthusiast I swear"
"Present","i am drunk and tried to light a cig but lit it from the filter this is now the second time i've done this"
"Present","I am enjoying a good cigar with my evening constitutional inside of course"
"Present","I am fueled by coffee and cigarettes"
"Present","I am holding my cigarette in the anger position since you're so terrible at reading non verbal cues"
"Present","I am in Indiana up way past my bedtime smoking 2 drags off a cig n idgaf sum1 plz call the cops"
"Present","I am on mdma dancing around my pool listening to Fleetwood mac smoking a cigarette"
"Present","i am smoking a cig in jamaica"
"Present","I am smoking but doing my homework bc priorities"
"NOT-Present","I am so tired I just picked up my vape and tried to drink from it"
"Present","I am thinking of getting a job so I can buy cigarettes and getting my nails done and getting my hair cut"
"Present","I b gettin tired of smoking outta boredom but den I b like Ima smoke regardless"
"NOT-Present","I be craving cigarettes so bad man fuck"
"Present","I been smoking this cigar too long Almost ratchet tv time"
"Present","I been smoking to much lately man"
"Present","I been so calm lately or maybe cause I smoke and think a lot"
"NOT-Present","I bought a pack of cigs lastnight I fucking hate myself but this malboro black feels so right on my lips"
"NOT-Present","I bought brownie and mint chocolate shisha I'm really excited to try it out That's how lame I am lol"
"NOT-Present","I bought dried leaves to vape n got raspberry leaf amp orange blossom Bought orange blossom for depression but it's to help with anxiety"
"Present","i burned myself w my cig lmfao great"
"NOT-Present","I came out here to smoke not watch mall security vape and assault a shopping cart"
"NOT-Present","i can legally drink and smoke tobacco in canada on thursday"
"NOT-Present","i can't believe i walked around smelling like cigarette for 6 years"
"Present","I can't believe some of the shit I hear at work while smoking all imma say is ""ladies suck ya mans dick"" cause some scuttlebucket will"
"Present","I can't eat unless I smoke if I don't smoke I won't have appetite"
"NOT-Present","I can't feel my face I was just date vaped"
"Present","I can't fw hookah while I'm drinkin"
"NOT-Present","i can't wait to smoke a cigarette"
"NOT-Present","I can't wait to smoke mojito flavored cigarettes with Patri again"
"NOT-Present","I can't wait until I'm in Florida with a beer in my hand smoking a cigar on the beach"
"NOT-Present","I CANT WAIT TO VAPE IN IT"
"NOT-Present","I could use a cigarette right about now"
"NOT-Present","i couldn't sleep so i just vaped a bunch of mugwort and now i simultaneously feel witchy as hell and like the biggest loser of all time"
"Present","I deal with stress by blocks of cigarets coffee sleep abuse sleep deprivation and emotional spikes All that sounds rather unhealthy"
"NOT-Present","I didn't freeze my balls off smoking a cig today"
"Present","I don't do no talkin when I smoke"
"Present","I don't even b using chewing tobacco I Jss b eating cigarettes"
"Present","I don't know how to stop smoking cigs but I need to start figuring it out"
"Present","I don't think the new roomie appreciates my vaping habit"
"NOT-Present","I don't understand how Harry has convinced me to come out to a shisha bar"
"Present","I drink the venom to release the pain Chain smoking I'll suffocate"
"Present","I enjoy how generic my morning is with cigarette daydreams coffee and a cigarette"
"Present","I envy people who dont crave cigarettes and just smoke when they drink"
"Present","i feel like an old man sitting outside smoking a cig"
"NOT-Present","I feel like having those deep convos over a glass of wine ciggs in place biltong and snacks"
"NOT-Present","I feel like hearing music smoking out have one drink an a few dances"
"Present","I feel like shit and I probably shouldn't be vaping but the STRESS FAM"
"NOT-Present","I feel like smoking"
"NOT-Present","i feel like walking out the gym and rewarding myself by chain smoking 5 cigarettes is probably quite counterintuitive baby steps"
"Present","I find myself every night or ever other night doing hookah #addiction #applemint #"
"Present","I forgot my phone while on the toilet so I spent my time ready a tobacco pouch found in my pocket #struggle"
"NOT-Present","I forgot to smoke more"
"Present","i go to the hookah lounge every so often but i don't really count that as smoking"
"NOT-Present","I got waiting for the first person to get my hookah right dm me"
"NOT-Present","i got a piece a lil piece amp a capsule that's also a grinder amp i hardly smoke anymore lmao"
"NOT-Present","I got a project in mind so wine glass and cigar I'm getting the beats together"
"Present","I got a project in mind so wine glass and cigar I'm getting the beats together"
"NOT-Present","I got cigs in my ear like -MENTION- so you know i'm feelin good"
"Present","I got my own cloud 9 right here in bed this hookah machine a beast bruh"
"NOT-Present","I got reallly nostalgic about menthol cigarettes I miss smoking sometimes"
"Present","i gotta finds me a bitch that can hit the #juul like i can"
"Present","I gotta stop smoking cigarettes Fr"
"NOT-Present","I had my first cigarette since January today lol"
"NOT-Present","I had the cops called on me for smoking an electronic cigarette outside at Waterfront in DC Asked them to arrest me They declined"
"Present","I hate and love the fact that i hate and love smoking"
"Present","I hate black and mild amp Cigarette smoke eww tf"
"Present","I hate cigarettes"
"Present","I hate my cigarette cravings"
"Present","I hate my life vaping darkslategray"
"NOT-Present","I hate myself so much I'll probably start vaping again"
"Present","I hate smoking in my car because I feel like that shit takes so long to completely air out I got like 3 air freshness and febreeze"
"NOT-Present","I have made the financial decision that I am purchasing a JUUL"
"NOT-Present","I have not vaped at all today It completely sucks but that's ok because I'm healthy now goddammit"
"NOT-Present","I haven't actually smoked in about a month and a half maybe two and I just can't express how good I feel"
"NOT-Present","I haven't smoked hookah for a whiiiileeeeeeee and now I'm light headed asf"
"NOT-Present","I haven't smoked in 4 days I'm proud of myself"
"NOT-Present","I haven't smoked in like two weeks"
"NOT-Present","I haven't smoked in over 24 hours how tf am I supposed to sleep"
"NOT-Present","I haven't smoked In so long"
"NOT-Present","I haven't smoked weed like in 2 days who am I lol I've just been smoking cigarettes"
"NOT-Present","I haven't vaped in a while idk if I should go back to vaping or not"
"NOT-Present","i havent smoked in so damn long"
"NOT-Present","i honestly can't wait to go home make pizza and smoke hookah oh and cuddle with my dogs"
"NOT-Present","i honestly might try vaping or something maybe the nicotine will help with stress and shit"
"Present","I honestly think it's really nice when people compliment me on my vape juice mix"
"NOT-Present","I hope I find another cigar"
"Present","I hotbox my car with a juul bc I'm a cool kid lmao"
"NOT-Present","I hung out with a vape"
"NOT-Present","I just ashed my cigarette in my captain crunch"
"Present","i just ashed my cigarette with such force that the filter came off then burnt myself trying to light a new one why am i such a mess yikes"
"NOT-Present","I just bought some cigarettes sooooo fw ya girl"
"Present","I just burnt myself on my foot w my cigarette if that doesn't show how drunk i am idk what will"
"NOT-Present","I just drank camilas fucking ecig juice"
"NOT-Present","I just dropped a glass bottle of tobacco all over my kitchen floor So that's how my night is going"
"NOT-Present","i just dropped my cigar off the balcony wtf"
"NOT-Present","I just drove all the way home and back to school because I forgot my cigarettes"
"NOT-Present","i just got out of the shower amp now i want a cig"
"NOT-Present","I just got the biggest headrush from my juul i might passout omg"
"NOT-Present","I just had a panic attach and smoked a cigaret at the frozen beach who tf am I"
"Present","i just lit a cig the wrong way"
"Present","I just lit my cig backwards"
"Present","i just lit my cig with an electric stove lmao"
"NOT-Present","I just lit my cigarette at the filter #fuckme"
"NOT-Present","I just need a cig ("
"Present","I just packed my cigs the wrong way"
"Present","I just remembered why I don't hang around naked I just burned my penis with a cigarette Ow ow ow"
"NOT-Present","i just set the fire alarm off in my room from vaping this has gone too far"
"Present","I JUST SHOT A CIG OUT OF MY MOUTH 2 3 FEET THEN CAUGHT IT THE RIGHT WAY IN MY MOUTH"
"NOT-Present","I just smoked with him and he didn't flirt with me but it was cool I had my bathing suit on but we didn't swim"
"Present","I just tried to bake my room with vape and now I have hiccups wtf y0"
"Present","I just tried to light my cigarette w my lipstick sooo there's that"
"NOT-Present","I just vaped in front on my mom and she gasped and said ""you took a hit """
"NOT-Present","i just wanna smoke my cig bruh"
"NOT-Present","I just want to smoke a fucking cigarette"
"Present","I just work smoke hooka and sleep #nofriends"
"Present","I keep saying I'm done smoking but I continue to smoke"
"Present","i kept saying i'll cut down on my ciggs but i kept smoking more zzzz"
"NOT-Present","I knocked over the hookah and a coal fell on my leg and now there's a big welt ("
"Present","I know too much im tryna smoke myself stupid"
"Present","I laughing at my phone outside of bif cat smoking a cig at night"
"Present","I leave my cigarettes in my room everyday and everyday I regret it"
"NOT-Present","i left my vape at home this is going to be a shitty day"
"Present","I like hookah"
"Present","I like smoking cigarettes with my friends"
"Present","I lit the wrong end of my cigarette"
"Present","i literally just walk out side with a cigarette"
"NOT-Present","i look forward to buying coffee and enjoying a cigarette tomorrow"
"Present","I look like I eat cigarettes for breakfast lmaoooo wow I hate myself"
"Present","I love downtown smoke nights"
"Present","I love finding my e cig under my pillow like an adult tooth fairy"
"Present","I love hookah Like too much"
"Present","I love listening to calming music while I'm smoking"
"Present","I love smoking in my porch"
"Present","I love smoking papers"
"Present","I LOVE TOBACCO MORE THAN MY PARENTS"
"NOT-Present","I mean I just ate about 2 hours ago but I'm ready for a big ol joint a whole box of wine mass cigs and some gd TACO BELL"
"Present","I might be town bitch but I'm also smoking in doors at my favorite bar Sooooo"
"NOT-Present","I misplaced my vape but it's ok I also convinced myself it's in one of my jackets #typical"
"NOT-Present","i miss cigarette"
"Present","I miss sitting outside smoking lol"
"Present","I miss smoking cigs on the beach at 2am"
"NOT-Present","I miss the days when I could just smoke and make music"
"NOT-Present","I miss the late nights and fires beside the river sneaking beer and cigs hoping cops didn't pull up"
"NOT-Present","I need a cigarette"
"NOT-Present","I need a cigarette to deal with all of these irrelevant ass people trying to hijack my energy I cba"
"NOT-Present","i need a cigarette)"
"NOT-Present","I NEED A FUCKIN CIGARETTE"
"NOT-Present","I need a mocha frappe and a cigar this morning"
"NOT-Present","I need fckn liquor and hooka already smh"
"NOT-Present","i need money for cigarets"
"Present","i need money for cigarets xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"Present","I need some healing right now the way I'm smoking"
"NOT-Present","I need to be sippin Don Julio on a balcony somewhere on the coast maybe even a nice cigar"
"NOT-Present","I need to smoke"
"NOT-Present","i needa cig"
"NOT-Present","I needa smoke this one away"
"NOT-Present","I needed my cigarettes"
"NOT-Present","I neeeeeeeed a cig so badly lol"
"NOT-Present","i only have 3 cigarettes but watch me smoke two of them on this break"
"NOT-Present","I only just lit my cig and the bus came just my fucking luck"
"NOT-Present","i only vaped once and i choked on the smoke"
"Present","I probably wouldn't smoke as much if I had something to occupy me"
"NOT-Present","i really stopped my vape"
"NOT-Present","I remember having hookah session with homies good times"
"NOT-Present","I remember smoking in back of the mall and I got chased by the 12"
"Present","I roll cigarettes with no filter wear vans and I'm an absolute fukkin waste"
"NOT-Present","I saw 1984 last night for 1st time It's happening I need a glass of good scotch and 2 Marlboro reds before it all goes boom"
"NOT-Present","i sent my helper earlier to get some cigarettes and this motherfucker brought back some virginia slims"
"NOT-Present","I shit real good at my grannys cause we drink coffee and smoke a cigarette to clean us out"
"NOT-Present","i should be vaping right now"
"NOT-Present","i should get my cigs around 12 30"
"Present","I sit beside my bed hairy gut drooping above Minion pajama bottoms vaping convinced of the suffocating isolation which confronts us all"
"Present","I smoke a lot of cigarettes for a landless man"
"Present","I smoke and keep it mello"
"Present","I smoke cigarettes to state my position clearly"
"Present","I smoke cigs too"
"Present","I smoke e cigs but still ("
"Present","I smoke entirely too much"
"Present","I smoke hookah btw Nothing else lol"
"Present","I smoke my pain away lol"
"Present","i smoke rothmans more than i think i does because ion keep count"
"Present","i smoke the hunger away"
"NOT-Present","I sneak out to a rooftop to smoke a cigarette at an urban party a quirky girl shows up and starts to talk to me Me ugh"
"Present","I spent way 2 much money on vapeing shit But its like a 24 7 CIG and 24 7 dab hit"
"Present","I stay coughing my lungs out cause of this cough but still with them smokes fml"
"NOT-Present","I sure hope my orders from -MENTION- and -MENTION- ship soon I'm ready to get off the smokes"
"Present","I swear I got everyone smoking blacks now"
"NOT-Present","I think a hookah sesh is in order"
"NOT-Present","I think being kicked out a smoking for laughing too loudly literally sums up me and -MENTION-"
"Present","I think by the time i finish intern my intake of ciggs will be reduced to 50"
"Present","I think I eat an actual meal as often as I go out and smoke"
"NOT-Present","I think I just smoked too much"
"NOT-Present","I think I need to vape again"
"NOT-Present","I think I replaced smoking with coffee so I replaced nicotine for caffeine"
"Present","I think i smoke too much now"
"NOT-Present","I think I'll go burn a cig or five anyone wanna come"
"Present","I think I'm in love w a juul"
"NOT-Present","I think it's saw t say I've kicked cigarettes for good with this doosh flute #vape"
"Present","i think my mom found my cigarette i'm gunna kms"
"NOT-Present","I tried smoking a cigarette once Made me puke Dunhill lights thi I guess"
"Present","I try not to smoke at all but the way it soothes my restless mind"
"NOT-Present","i use to drink amp smoke so much as my escape"
"Present","I used to fantasize about being in a three way Now most of my fantasies involve cigarettes"
"Present","i vape"
"Present","I vape so my lungs can see the clouds I'm about to blow"
"NOT-Present","i vaped at a stoplight and ""vapenation "" was shouted at me im just tryna quit cigs man #endthestigma #vapelivesmatter"
"NOT-Present","i vaped on the junebug it persisted"
"NOT-Present","I vaped today and now I'm questioning myself as a person"
"NOT-Present","I vaped tonite am I a woman now"
"NOT-Present","I wana go to a hooka lounge"
"NOT-Present","I wanna go smoke but all my friends too busy for me"
"NOT-Present","I wanna smoke but my beds too comfy to get up #TheStruggle"
"NOT-Present","I wanna smoke my hookah but my ass too lazy to get up and make it"
"NOT-Present","I want a damn #cigarette case to put my smokes in that wont let em move around So when I open it half my #tobacco isnt loose"
"NOT-Present","I want hooka right now"
"NOT-Present","I want to go to a resort somewhere in Dubai and smoke shisha with my boo while watching the sunset"
"NOT-Present","I want to smoke hookah so bad"
"NOT-Present","I wanted to smoke a cig and cry in the privacy of my own backyard but someone is fixing my fence"
"NOT-Present","I was dancing and I vaped an existential fox"
"NOT-Present","I was vaping and I vaped a rave trans woman"
"NOT-Present","I wish dan would move out here we'll be somewhere eating amp or smoking right now"
"Present","I wish I could enjoy this cigar but it's too damn windy outside right now"
"NOT-Present","I wish I was fuckin' sick enough to hit a Juul in lecture"
"Present","I wish my friend would wake up I'm trying to smoke"
"NOT-Present","I wish some company to coffee cigarettes and deep talks"
"NOT-Present","i woke up this morning with a lot of pasta sauce on my shirt and 0 cigarettes"
"NOT-Present","I worked 6 hours and forgot how to smoke a cigarette Try not to fall in love with me"
"Present","cigarette and then putting myself to sleep again some how"
"Present","hookah really does give me a headache"
"NOT-Present","Time to settle in for the evening with my #coffee and #cigarettes buy some #porn and jack off Lust is good"
"NOT-Present","I'd like sell my soul for a cigarette rn"
"Present","i'd rather keep vaping instead of smoking cigs"
"NOT-Present","I'd sell my dog for a cig right now"
"Present","I'll attempt sleep after this hookah die out"
"Present","I'll be here vaping"
"NOT-Present","I'll be smoking a cigarette in front of the movie theatre at 7 o'clock"
"NOT-Present","I'll be vaping under the stars and that's cool too I love my nugget"
"Present","I'll figure my life out sooner or later but for now I'll just continue to lay low keep quiet and smoke in peace"
"NOT-Present","I'm about to break down and order hookah"
"Present","I'm back in the cigar smoking game"
"NOT-Present","I'm bout to smoke and go to bed this sleep should be great since I ain't gota work in da am"
"Present","I'm crying and chain smoking cigs bc there's ants in my kitchen and I'm SCARED"
"NOT-Present","I'm done smoking"
"Present","I'm done smoking til my birthday then I'm done after that for good"
"NOT-Present","I'm done with smoking period"
"Present","I'm eating baba ganoush and drinking mango juice and smoking hookah and cigarettes AND I'm alone so I basically feel heavenly"
"Present","i'm eating chocolate chip cookies and smoking a cane mint hookah and it tastes exactly like mint chocolate chip ice cream"
"Present","i'm getting my nails done while smoking the juul and i feel like a bawwwsss"
"Present","I'm gone break down this cigar puff puff no passing"
"NOT-Present","I'm gonna quit smoking cigarettes Until the prices go up"
"Present","I'm having shisha alone I ordered the wrong flavour I wana crtyyhg"
"Present","I'm here to just smoke a cigar and watch the flame grow"
"Present","I'm in ocean drive smoking big 50s wit da top down"
"Present","i'm in the hot tub smoking w my feet up"
"NOT-Present","I'm jus now cleaning up from spring break there's so many cigs and beer cans on my balcony"
"NOT-Present","I'm just coolin at Carmens tryna make something to smoke out of"
"NOT-Present","i'm just kidding i actually vaped to find out next on Disney Channel"
"NOT-Present","I'm just laying here wanting a cigarette but joe is passed the fuck out with one leg and one arm over me"
"Present","I'm just sitting here Doing what I do Smoking on a big fatty vape"
"Present","I'm just smoking Ports chilling on da porch"
"Present","I'm just trying to hookah"
"Present","I'm just tryna piss and have another cig or two"
"NOT-Present","i'm just trynna get drunk get tats and go to the hookah bar"
"Present","I'm just vaping on my ex bitch"
"Present","I'm loving my hookah pen right now"
"Present","I'm most m relaxed with a cig in my hand my sketch book out in front of me with a cup of coffee"
"Present","I'm not going to bed till the battery dies on my eCig #thuglife"
"Present","I'm officially a poor person rolling with drum tobacco"
"Present","I'm on a cigarette diet right now But instead of trying to lose weight I'm just trying to kill myself"
"Present","I'm on my first break at work and I'm sitting in my car smoking and this jackass just parked so close I can't get out of my car"
"Present","I'm out here amongst the trees with new music smoking a cigar This is vacation"
"Present","I'm out of cigarettes"
"NOT-Present","I'm out of cigs Would it be weird to smoke a cigar It's my only option"
"NOT-Present","I'm out of smokes sos"
"Present","I'm outside on the porch smoking and I sware I hear like every animal out here right now Wtf is going on"
"Present","I'm really out here smoking a cig while it's raining"
"Present","I'm really playing darts right now in the middle of my living room smoking a cigarette"
"NOT-Present","I'm sick lost my juul already"
"Present","I'm sitting by my pool drinking a nice Brunello and smoking a Cuban Live better work""UNION"" I say"
"NOT-Present","I'm sitting here drunk af thinking about how bomb a cig n coffee will be in the morning lmfao"
"Present","I'm sitting here in the bathroom smoking a cig listening to youtube and the radio at the same damn time Feeling blessed"
"Present","I'm sitting in a casino bar enjoying a cigar and a beer while writing in my idea journal Not gambling makes me feel so mature #Magic"
"Present","i'm sitting in my car smoking a stoge bc it too cold n windy for me and i fucked up by wearing shorts"
"Present","I'm sitting on a wet lawn chair #smoking"
"Present","I'm sitting outside @ work smoking a cig and trying to not cry which isn't going well"
"Present","I'm sitting right between two boys amp two girls amp I'm smoking the tobacco pipe with the guys amp talking makeup with the girls SIMULTANEOUSLY"
"Present","I'm smoking a cig and going right back to sleep"
"NOT-Present","i'm smoking a cigarette at 1 am and this drunk homeless guy said ""shaka bro "" as i walked by and i gave him a cigarette"
"Present","I'm smoking a cigarette at work because my stomach hurts"
"Present","I'm smoking but no butt rubbing"
"Present","I'm smoking right now"
"Present","I'm sneaking eating Doritos at the hookah lounge"
"NOT-Present","I'm so bad at adulting today that I accidentally just mixed banana and absinthe e liquid together Surprisingly it's not terrible"
"Present","I'm so good at smoking virtually with my ballpoint I deserve a cigarette"
"NOT-Present","I'm so happy I'm not craving cigs"
"Present","I'm so mad at myself for just throwing my juul across Krista's yard will be missed ("
"Present","I'm SO READY to call my GP at 8 I have tea planned a cig ready the phones on charge I may only have one eye but I'm GETTING A DAMN APPT"
"Present","I'm so tired I lit the wrong end of my cig -MENTION- im the one u write ur songs about"
"Present","I'm sorry but I can't pay for my chain smoking cigarette addiction with ""exposure"""
"NOT-Present","I'm still up and tryna smoke Hmu if u with it"
"NOT-Present","I'm taking such good care of my body and mind lately I don't smoke cigarettes anymore I don't drink any type of alcohol anymore"
"Present","I'm the type of person that preaches good vibes and energy while lighting a cigarette"
"Present","I'm the type to do my hair and get dressed just to sit on Snapchat smoking my hookah"
"Present","I'm too lit and I'm bout to spark this hookah with my lil brother"
"NOT-Present","I'm trying to go somewhere in STL with bottomless mimosas and hookah"
"NOT-Present","I'm tryna go to a hookah bar"
"NOT-Present","I'm tryna go to the hookah lounge later"
"Present","I'm tryna look at a nice view of the bay and smoke my Cuban cigar"
"NOT-Present","I'm tryna smoke already"
"Present","I'm tryna smoke cigarettes take a drive and listen to Mac DeMarco"
"NOT-Present","I'm tryna smoke lol"
"Present","I'm tryna smoke n sip in peace but it sound like somebody out here dying"
"Present","I'm tryna walk out in a beater with a floral pattern shirt unbuttoned with Cuban link and a cigar in my mouth today"
"Present","i'm vaping am i cool yet"
"Present","I'M VAPING LOOK AWAY"
"Present","I'm vaping while holding back tears this is the most tragic night of my life"
"Present","I'm vaping with anger"
"Present","I'm watching superbad while smoking a cig and drinking coffee a good start to the morning"
"NOT-Present","I'ma slip into these pj's smoke this cigarette and knock out Bedtime really is my favorite time"
"Present","I've a morning ritual of watching an episode of narcos while smoking a cig and a cup of coffee beside my candles"
"Present","I've been sleeping later I've been breathing stronger I've been smoking deeper but the memories won't stop A TUNEEEEE"
"Present","I've been trying to refrain from drinking and smoking but I keep having dreams where that's all I do"
"NOT-Present","I've decided to give up gloving to pursue a new flow art called vaping"
"NOT-Present","I've fully missed sitting out front on my steps and smoking cigs and reading and not freezing my ass off"
"Present","I've gotten to the point where I can tell my constant cigarette smoking is causing me to look older than I actually am and that's terrifying"
"Present","I've made a lot of stupid decisions in my life but the one I regret the most is getting hooked on smoking cigs"
"NOT-Present","I've smoked so much today"
"Present","I've started feeling better within myself but started smoking more cause I'm moodier and stressed lol"
"Present","I m smoking to escape the distant memory of us"
"Present","Idk where I am but I'm in a strip club chillin w the owner smoking a cig"
"Present","idk why but I hate smoking in my car now"
"Present","Idk why vaping is so satisfying but I love it"
"NOT-Present","If anyone wants to go to sheeshas tonight then hmu"
"NOT-Present","If anyone wonders why I'm cranky no cigs in two days no whiskey Barely any alcohol and more work than usual don't judge me"
"Present","If cigarettes don't kill me than over thinking probably will"
"NOT-Present","If food liquor and hookah are there count me in"
"NOT-Present","if i smoke a cig off a pill does that make me tar xan"
"NOT-Present","If I vape while I'm sick rn will I get bored so easily"
"Present","If I vape while I'm sick rn will I get those goosebumps every time"
"Present","If I vaped anymore I think I'd end up being called nicotine"
"Present","If my enemy is a fire it only burns my cigarette"
"Present","If someone wants a Juul ecig you can have it for 40 I just bought that bitch today but want a g pen instead"
"Present","iLight my cigg lol"
"Present","im a vape god"
"NOT-Present","Im about chain smoke this whole pack"
"NOT-Present","Im actually in the mood for hookah"
"Present","Im at archers smoking area anyone should drop by and say hello ik extra friendly"
"NOT-Present","Im bout to pull up on the block and bring the hookah outside and bump el Alfa"
"Present","Im eating icing and vaping trying to makes o's #I nsomniACa suckit"
"NOT-Present","Im finna quit smoking frfr"
"Present","im going thru a crisis listening to gucci mane vaping life is guhhhd"
"NOT-Present","im here to respect women and smoke cigarettes but im already out of cigarettes"
"Present","im in vapeing heaven and have achieved nirvana"
"Present","Im just kickin my shit just cooling bout to smoke another O"
"Present","Im just trying to smoke and not feel shit"
"Present","im just vaping right now profusely"
"Present","im sitting in the mothrrfucking dark and smoking"
"Present","im smoking one got another one"
"NOT-Present","Im so craving to vape on right now ogoshhhhhh"
"Present","im standing outside drinking wine out the bottle n smoking a cig in a silk robe i am tht bitch"
"Present","im tryna vape"
"Present","im vaping 1 of the new flavours cool mint if u like menthol type flavour this is a good 1 not to overpowering either )"
"Present","im vaping w my mom huh"
"Present","im waiting to drop either my phone or my juul in the tub currently"
"NOT-Present","Ima put a hooka in the crib already got the Bluetooth speakers with some drank i might not ever leave the spot if it ain't about or"
"Present","Ima sit here w my hookah and listen to Take Care until I'm not disappointed anymore"
"NOT-Present","Ima smoke Ahh cig finish my old coffee an shower"
"Present","Imma just stick to smoking"
"Present","in a jet is where my mind is so i light another cigarette to calm me down"
"Present","In a jet is where my minds at so I light another cigarette to calm me down"
"Present","In a pub with British American Tobacco"
"NOT-Present","In need of a cigarette"
"NOT-Present","in need of ciggs and alcohol rn"
"Present","In other news no cigs at work Home is another matter Baby steps"
"Present","In pajamas and my beaten to shit 750s drinking tea and smoking a cig on my balcony"
"NOT-Present","In the ATX got my pack of cigs ready to hit 6th"
"Present","In the car smoking my Pura soul cigar"
"Present","In the hookah bar falling asleep"
"NOT-Present","In the mood for a nice cigar"
"Present","inhales two cigarettes in hopes of shortening my miserable work life"
"Present","Ion eat unless I smoke"
"NOT-Present","Ion even feel like smoking that's how aggravated I am dawg"
"NOT-Present","is anybody near MCAD right now and has cigarettes like im for real lol"
"NOT-Present","Is it normal for shisha to make e feel mwi am absolute mash man"
"NOT-Present","Is it wrong of me to crave a cigarette so bad"
"NOT-Present","It started with shisha Ended with my stupidity"
"NOT-Present","It will be nearly 50 degrees this weekend in AK I get back from the field Thursday This will be a cigar and gun filled weekend"
"Present","It's 1 00pm and I'm smoking hookah"
"Present","it's 10 18am and i am craving a cigarette and an entire bottle of wine on a warm porch"
"Present","It's 2 pm and I'm barley having my coffee and cigarette smh"
"Present","It's 2am on a school night and lauren and I are drunk at the hookah bar"
"Present","It's 4 P M on a Monday and here I am on the back patio feeling my Pinot Grigio buzz already in a camo robe enjoying a cigarette"
"NOT-Present","It's 4am and I'm tryna talk myself out of driving for cigarettes"
"Present","It's 5 am and I'm just eating and smoking"
"NOT-Present","It's 5 o'clock pig Time for a white wine and a cigarette"
"Present","It's 5AM and I'm sipping decaf and smoking a cig"
"Present","It's 6am I'm sat in the cold alone smoking so if anyone wants to be my mate hmu"
"Present","It's almost 10pm on a Thursday Not gunna lie I feel pretty rebellious being on my patio w a beer and a cigar"
"NOT-Present","It's ALMOST too cold for a cigarette outside Almost"
"Present","It's always been usual for me to watch football game and sheesha with 8 guys (Habibi's friends)"
"Present","It's an ice coffee and 2 cigar evening"
"NOT-Present","It's been nine days now without a cigarette"
"NOT-Present","it's cold but i like stars so im gonna sit out here and smoke 10 cigarettes"
"Present","It's impossible for me to smoke w o having a water bottle likes I needs that"
"Present","It's past 4 20 shit imma smoke 1 more brush my teeth and sleep on the couch cause All my clothes are on my bed"
"Present","It's really 5 30 am and I'm up smoking hookah with my dog watching cats and dogs I'm officially washed"
"Present","It's snowing and I'm vaping rosin"
"Present","it's snowing and im standing outside in shorts smoking a cigarette"
"NOT-Present","It's so beautiful out Good night to hookah"
"Present","It's so cold smoking a cigarette is miserable"
"NOT-Present","It's so weird how I used to smoke party amp drink sm amp now I can barely take shots haven't smoked in months amp go clubbing shows more"
"NOT-Present","It's time for a cig my nig"
"NOT-Present","it's time for the daily ""I'm so fucking bored at 2pm in the afternoon what the fuck am I doing with my life"" cigarette"
"NOT-Present","It's times like these I wish I had a damn cigaret"
"Present","It's times like this when I'm doing React development on a Macbook using an e cigarette that I wonder when I became such a fucking hipster"
"Present","It's to cold to be smoking a cig in a t shirt"
"NOT-Present","it's vape time let's have fun #vape #vaping #vapor #vapefun #pipe #smoking #ecig #cigarette"
"NOT-Present","ITS LIT MY MOM GAVE ME THE GO TO SMOKE HOOKAH IN MY ROOM"
"NOT-Present","ive never needed a cigarette more in my life and i cannot even have one"
"NOT-Present","Js somebody almost lit my finger instead of mu cig"
"Present","jus thinking about maybe I'm drinking and smoking too much lately and I using it to cope with stuff"
"Present","jusko stress pls don't let me smoke another pack smh"
"Present","Jussszz me in panties n vaping lol gunnite"
"NOT-Present","just a tip don't eat Takis then smoke a cig ur throat will burn amp it is not enjoyable"
"NOT-Present","just beer no more ciggs"
"Present","Just begins calmly smoking a cigar on the TL"
"NOT-Present","Just bought a soft pack of cigs Is this the 90's"
"NOT-Present","Just getting home Shower Hookah amp A Glass Of Wine"
"Present","Just getting off work and need a cigar but all these fucking stores close at 12am"
"NOT-Present","Just got a warning for vaping in a non smoking room"
"NOT-Present","just got hit by a car walking but the guy gave me a cigarette we cool"
"Present","Just laying on the floor smoking hookah in my empty room I love my roomies"
"Present","Just lit the wrong end of my cigarette and now I'm dying"
"Present","Just lit the wrong side of my cig for the first time in my life and I feel so ashamed"
"Present","just made direct eye contact with my neighbor while I'm smoking a cig out my window w a face mask on amp towel on my head gmorning"
"NOT-Present","Just need to smoke and talk"
"NOT-Present","Just over two weeks smoke free #NoSmokingDay"
"NOT-Present","just painted my nails gunna smoke a cig i'm chillin"
"NOT-Present","Just plugged in 3300mah #ecig battery I #vape d 1855 puffs at 6 5w over 40hrs (down time not subtracted)"
"NOT-Present","Just remembered -MENTION- dropped the fucking hookah on the homie lmao"
"NOT-Present","just sent my mom pics of me smoking hookah welcome to adulthood )"
"NOT-Present","Just smoke my ecig in front of the no smoking sign then flipped off the mall cop"
"NOT-Present","Just smoked so I can smoke"
"NOT-Present","just smoked feeling good"
"Present","Just smoking a cigar by the ocean it's fine"
"Present","just talking over cigarettes and drinking coffee"
