"labels","text"
"NOT-1stPerson","Fifteen years old smoking hand rolled cigarettes"
"1stPerson","Finally vape in peace"
"NOT-1stPerson","Find out whats on offer from -MENTION- in #Stalybridge #Ecigs"
"NOT-1stPerson","Finding the right kind of #eliquid to use can be a bit of a challenge At -MENTION- we'll help you out each step of the way"
"1stPerson","Finishing off my 18th with cough drops cold medicine and cigarettes"
"NOT-1stPerson","finna smoke n shit"
"NOT-1stPerson","Fire alarm going off at 3AM because of the vape "" Sorry neighbours"""
"NOT-1stPerson","First luck cig i flipped was the day that fancy girl accepted my friend request and from that day I never missed a lucky cig"
"1stPerson","First luck cig i flipped was the day that fancy girl accepted my friend request before she did and from that day I never missed a lucky cig"
"NOT-1stPerson","Fit lads smoking cigarettes is cool and sexy smelling like stale cigarettes is not"
"1stPerson","fk forgotten my cigg"
"NOT-1stPerson","Flash sale 330 9pm all 60ml's of e juice 24 99 Naked Fish 19 99 amp Cream St 100ml 24 99 Come in Now #august8th #vaping #sales #vape"
"1stPerson","Flip that cigar click that torch and light that mofo up Good morning beautiful peeps #cigarlife"
"1stPerson","Food n cigar run"
"1stPerson","Food on the grill Patron in my cup and a lil hookah"
"1stPerson","FoodPorn I just started a whole30 Decided to full clean with no tobacco and no coffee for me #whole30 #cleaneating"
"1stPerson","For some reason cigs taste like shit on hwy 37"
"NOT-1stPerson","for the last time kanade I'm not gonna vape with you"
"NOT-1stPerson","For whom it may concern moms sound like she is pretty rested and doing alot better now if i can just keep her away from ciggs"
"NOT-1stPerson","Forcing #smoke down your lungs is a #pulmonary rape #Quit #Smoking"
"NOT-1stPerson","Forgetting my vape at home is the worst"
"1stPerson","Forgot my medication Forgot my phone in the car Dropped my cigar in a puddle just after lighting it worst fucking start to my night"
"NOT-1stPerson","Fortun says Mighty cigarettes are made in the PH (not smuggled) not within BOC jurisdiction via carolyn bonquin"
"NOT-1stPerson","Fortun says Mighty cigarettes are made in the PH (not smuggled) not within BOC jurisdiction via carolyn bonquin ABS CBN News (ABSCB"
"NOT-1stPerson","Found out my sidemirrors and cigarette lighter in my car both link to the same fuse which blew and is a mini fuse and pain to remove"
"NOT-1stPerson","French inhaling gun smoke"
"NOT-1stPerson","FRESH MENTHOL CIGARETTES"
"1stPerson","Fresh tobacco"
"1stPerson","Freshly build vape Oh yessss"
"NOT-1stPerson","FRIDAY IMA NEED FOR EVERYONE ATTENDING TO ROLL THE FUCK UP ALL AT ONCE WE SMOKING THE FUCK UP IDC IDC 100 BLUNTS IN ROTATION LETS GET IT"
"NOT-1stPerson","friend goooooo vape drigs"
"NOT-1stPerson","From Amanda for a hit and Amanda shared one with her cause she stalking the door Then gave Angel cigs Then she goes next door text Matt"
"NOT-1stPerson","Fuck a hooka we fw gas"
"1stPerson","fuck i forgot about cigarettes and saints"
"1stPerson","Fuck I wish I can have a smoke even though I'm not smoking Work is hectic this morning"
"1stPerson","Fuck my cig addicting man"
"1stPerson","fuck my fucking dog life i forgot to bring my cigg to work"
"NOT-1stPerson","Fuck off with yer 'lockdown' Sick of Americanisms Churchill would be outside cigar in hand Putting on a Bulldog face #Westminster"
"1stPerson","Fuck you and I'm gonna be naughty with my cigarette"
"1stPerson","Fuck I fell asleep writing with a cig and burned my enter button Thank God I can buy an external keyboard for cheap #macforlife"
"NOT-1stPerson","Fuckin ""VAPE"""
"1stPerson","Fuckin vape gave me the hiccups"
"1stPerson","Fucking hooka got my head hurting"
"1stPerson","Fucking miss my vape already"
"NOT-1stPerson","Fucking stupid neighbours who smoke ten cigarettes minute now my room stinks even tho I closed the window"
"1stPerson","Full disclosure Me and Grover Norquist vaped with some guy who looked an awful lot like the Russian ambassador last summer"
"NOT-1stPerson","FUNERAL DIRECTOR YOU'RE NOT EVEN DEAD YET ME IRRELEVANT ANYWAYS I WANT MONDO OOWADA TO CHRISTEN MY GRAVE BY VAPING ON MY TOMB"
"1stPerson","FYI I don't smoke cigarettes no more"
"1stPerson","G I'm tired of smelling cigarettes"
"1stPerson","G that hookah got my head spinnin I'm Finna lay it done wtf"
"NOT-1stPerson","G Raffle time on Monday guys Lunar Aggelos Vapers and Obsession Premium E Liquid"
"1stPerson","Gah every time I nip out for a cig the heavens open It's like Travis at V Festival 2000 all over again"
"NOT-1stPerson","Gamucci Morning tweeps Nothing like a Gamucci electronic cigarette with your coffee"
"NOT-1stPerson","Genuinely just thought I saw a nun rolling a cigarette"
"1stPerson","Get out of my room I'm vapeing"
"NOT-1stPerson","GET THE CANCER STICKS OFF MY TV SCREEN"
"NOT-1stPerson","Get u a girl who lights your cigs for u"
"1stPerson","gettin carded for tobacco products really pisses me off"
"1stPerson","Gettin' pretty good at droppin' the e cigarette to the floor off my lap every single time I stand up"
"1stPerson","Getting a carton of cigs and a large pizza soon"
"NOT-1stPerson","Getting dressed for work and pulling a hookah pipe tip out of my back pocket Gentle reminder that I'm still a bird"
"1stPerson","getting drunk at 2 41 by myself and smoking a whfole pack of cigs cool"
"1stPerson","getting our spare room converted into a smoking area"
"1stPerson","Getting the hooka ready"
"NOT-1stPerson","Getting woken up at 5 30 by someone asking for a cigarette thanks uni halls L"
"NOT-1stPerson","Girls around here be getting played smoking reggie instant headache"
"NOT-1stPerson","Girls that smoke cigs blacks drink beer amp all dem junky drugsstay tf away from me"
"1stPerson","Give me a cigarette and a glass of wine to calm my nerves"
"1stPerson","Give me a cigarette my nerves is back"
"1stPerson","Give me three cigarettes to smoke my tears away"
"1stPerson","Give to me cigaret"
"NOT-1stPerson","Glad I Didn't Go To Hookah Mfs To Grown"
"1stPerson","glad my 1st experience with vapeing wasnt with a gross juice #smokefree5months"
"1stPerson","Glass of wine great friends cigar lounge #fridaynight #thisisthelife"
"1stPerson","Glass of wine cigarette amp Tchaikovsky I'm so cultured innit"
"NOT-1stPerson","GO ON AND LIGHT A CIGARETTE"
"NOT-1stPerson","Go on and light a cigarette set a fire in my head"
"1stPerson","god damn there's something about smoking a cigarette in bed I'm in love with"
"NOT-1stPerson","God I can't wait to move I hate people who smokes ciggs"
"NOT-1stPerson","Goes to the bench sits down and lights up a cigarette"
"1stPerson","goin to the hookah bar saturday"
"1stPerson","going back to vaping"
"1stPerson","Going on like I don't smoke 45685 cigs a day"
"1stPerson","going outside to smoke but it's too fucking cold to finish a cigarette"
"NOT-1stPerson","Goldschmidt definitely hid Leyland's cigarettes right"
"1stPerson","Gonna smoke and listen to Alan Watts"
"NOT-1stPerson","Good Contractor Recommendations In Omaha Not The Beer amp Cigs Ones lol"
"1stPerson","Good Morning Everyone Coffee and Cig"
"NOT-1stPerson","Good morning fucked up world #koffie #cereal #goohweeh #cig"
"NOT-1stPerson","Good morning Tweeps Wake n vape time What you vaping #vapelife #vapegirl"
"NOT-1stPerson","Good morning Make a smoothie throw away ur cigarettes drink lots of water and practice mindfulness"
"NOT-1stPerson","Goodness I'm getting bluebell on the nose with notes of rock Probably cigar box"
"NOT-1stPerson","Google search can a seraph vape"
"NOT-1stPerson","google search is vaping haram"
"1stPerson","Got a Dab rig vape and some sugar wax learned quickly dabing and vapeing is life #onemore"
"1stPerson","got a face mask on n i'm smokin a cig sippin coffee on my back porch in my silk robe and excessively fuzzy pink slippers this is l i v i n"
"NOT-1stPerson","Got a new vape purely as a fashion statement"
"1stPerson","Got all my hookah stuff now"
"1stPerson","Got drunk woke up to all my kitchen stools knocked over a cig on my floor and my tv broken"
"1stPerson","Got glass of red wine a cigarette Sitting out in deck while neighbor plays classic Blues and Jazz on stereo #lifeisgood"
"1stPerson","Got my brews got my smoke got my pen n my pad #InMyOwnZone #LikeThat"
"1stPerson","Got my cigg at bpp hahahaha lazy find at hillion so big"
"1stPerson","Got my vape coming in the mail and Apple Watch this weekend"
"NOT-1stPerson","Got the cigar slapped outta ya mouth that's what'cha get fa puttin' two in ya mouth then back in the box earlier #TCMParty #TheLittleFoxes"
"1stPerson","Got the hookah going"
"1stPerson","got the incense lit its smoke time"
"1stPerson","Got the patio furniture back out cigar lit beer cracked my kinda weather #HappyKyle #HappyMilo"
"1stPerson","Gotta stop smoking drunk cigs"
"NOT-1stPerson","Gov's budget assume securitization of tobacco settlement not happening so motions shifts programs back to CIF #ksed #ksleg"
"1stPerson","Grab a bottle food and light the hookah over going out anydayyy"
"1stPerson","Granny just passed my uncle out here smoking glass"
"NOT-1stPerson","granny n these cigarettes gone kill me"
"NOT-1stPerson","Grant Gravis says and I quote ""Kearney Fuckups show up to pilot parking lot in cholo shorts and DC shoes to smoke cartons of cheap ass cigs"""
"NOT-1stPerson","Group project on the millennials and a kid in my groups only contribution is ""vaping is really big right now"" bye"
"1stPerson","Guess I should smoke a cigg and try and sleep"
"NOT-1stPerson","gun Sorry I don't smoke cigarettes #np Common Testify I know dad Zz tata goodnite"
"1stPerson","Guy at McDonald asked if we wanted to smoke"
"NOT-1stPerson","Guy driving a Prius smoking a cigarette and throwing the butt on the ground #comeondude #contradiction"
"NOT-1stPerson","guy sitting beside me is using a bubblegum flavoured vape amp its acc giving me the boak faaaaar too sweet for this time of the morning"
"NOT-1stPerson","Guy vaping in a kilt wearing a hockey jersey"
"NOT-1stPerson","Guys smoking cancer sticks in the college's entrance Y'all dumb enough to kill yourselves don't take us with you"
"NOT-1stPerson","Guys who smoke cigarettes are hotter than those who don't #facts"
"NOT-1stPerson","Guys you beat off rinse the hand smoke the cig eat the pizza smoke another half cig pass out That order Simple math here Grow up"
"1stPerson","ha ha ha ha ha I burnt half my eye lashes off with a lighter trying to smoke while also laying down"
"NOT-1stPerson","haha gary is so good at vape tricks"
"NOT-1stPerson","Half my problems would be solved if cigarettes calmed me down as much as weed"
"1stPerson","Half time at work smoke session"
"NOT-1stPerson","halo top is the vaping of ice cream"
"NOT-1stPerson","Halton Hospital also hold a smoking cessation by Halton Health Improvement Team in outpatients clinic c Friday 1 3pm Book on 0300 029 0029"
"1stPerson","hand me a cigarette dawggggg"
"1stPerson","Hanging out by myself drinking and smoking and hooping The life"
"NOT-1stPerson","Happy #420 in Dodoma Tanzania #420PM Smoking some #Skunky White Russian"
"NOT-1stPerson","Happy #420 in Yangon Myanmar #420PM Smoking some #Bouquet Moose And Lobsta"
"NOT-1stPerson","HAPPY 18th BIRTHDAY TO MY LIL SHIT have fun at the strip clubs amp buyin cigs ) -MENTION- kyle"
"NOT-1stPerson","Happy bday Blain -MENTION- hope it's great buy some cigs"
"NOT-1stPerson","Happy Birthday -MENTION- juul it up bro"
"NOT-1stPerson","HAPPY BIRTHDAY BBY BLACKOUT W STRAIGHT CIGS AND TEQUILA -MENTION- I LOVE YOUU"
"NOT-1stPerson","Happy birthday to the vape god himself -MENTION-"
"NOT-1stPerson","happy birthday vape goddess #vape #juul -MENTION-"
"NOT-1stPerson","Happy Tobacco Festival Candon City"
"NOT-1stPerson","Harry Potter and The Transcriptomic Profile of Tobacco in Response to Phytophthora Nicotianae Infection"
"NOT-1stPerson","Has anybody hear about these cool new vape cigarettes"
"NOT-1stPerson","Has anyone tried CannazALL's wax honey and wax vape pen via r CBD It's about 167 for an 800mg syringe and the vaporizer I'm looking f"
"NOT-1stPerson","Has my little brother really just set the fire alarm off by vaping aGAIN"
"NOT-1stPerson","Has Obama ever vaped"
"NOT-1stPerson","Hashr cigarette Sheesha cigar all this would do just great"
"NOT-1stPerson","Hate hittin da L and the smoke goes in my eye"
"NOT-1stPerson","Hate it when my mom smokes in my car cause then my car smells like cigarets"
"NOT-1stPerson","Hate the smell of cigarettes"
"NOT-1stPerson","Hate the smell of cigarettes"
"NOT-1stPerson","Hateeeee cigarettes cigarette smoke all of the above"
"NOT-1stPerson","Have a wonderful evening all #Vapeing #Vape #Zeusjuiceuk #ZeusJuice #Vapecommunity #Vapepen #Eliquid #Ejuice"
"NOT-1stPerson","HAVE YOU ALL EVER SEEN A SMOKING SCENE IN A SHOW OR MOVIE AND ACTUALLY SMELT THE SMELL OF SMOKE (Cigarette) IT ALWAYS HAPPENS TO ME"
"1stPerson","Haven't been to the hookah bar in a long time"
"1stPerson","Haven't been to the hookah bar in forever forgot how to smoke it"
"1stPerson","haven't even had my juul for 2 months nd it won't charge anymore"
"1stPerson","Haven't hit a blunt in 5 months bout to turn to cigarettes"
"1stPerson","Haven't smoked in a month Them paccs keep me calm tho"
"1stPerson","haven't smoked in idk how long so tbh I don't even know how it feels to smoke in your own shit"
"1stPerson","Haven't smoked in two weeks"
"1stPerson","Haven't smoked my e cig in two days or put a smoke in my mouth don't even want to either taste will be rotten"
"1stPerson","Having a cig and talking to Daren about life on the garage steps will 4ever be my favorite thing to do"
"NOT-1stPerson","Having this vape is pretty lit but also a bad idea bc I really just be getting high in public now"
"NOT-1stPerson","Having to have -MENTION- buy me cigs bc I don't have an ID yet again what has my life come to"
"NOT-1stPerson","Having Tobacco made in expensive Singapore is a great excuse for the Australian government to raise the retail price of tobacco in Australia"
"NOT-1stPerson","hbd cig luver hope its great don't party too hard -MENTION- doub"
"NOT-1stPerson","He smells of laundry detergent and cigarettes He's tall and strong And I'm #headoverheels"
"NOT-1stPerson","He was cute up until he brought up a cigarette butt up to his mouth"
"NOT-1stPerson","He's a Marlboro Man until his woman makes him quit #AddAWomanImproveAQuote -MENTION-"
"1stPerson","Heading down for coffee and cig"
"1stPerson","Heading to a cigar bar"
"NOT-1stPerson","Headline ""Meet the king of vape"" Me No thanks"
"NOT-1stPerson","Heard a comparison about helping students deal with ""social media"" the same way we talk about drinking and smoking Thoughts"
"NOT-1stPerson","Heard a country song today with the lyrics ""talking bout a girl talking bout a truck chew tobacco chew tobacco chew tobacco spit """
"NOT-1stPerson","Heard that loose selling of Cigarettes is not allowed in the future Would be a good suggestion at all"
"NOT-1stPerson","Hell yeh guy on the tram is in trouble for vapeing from the driver"
"1stPerson","hello my name is je4emy and I love to vape"
"NOT-1stPerson","Help my uber driver is hotboxing the car with e cig smoke"
"NOT-1stPerson","HELP shameless makes smoking cigarettes look so cool"
"NOT-1stPerson","Hemp over cigs forever"
"NOT-1stPerson","Henry clay weirdos making out on the floor and straight boys vaping in the bathrooms"
"NOT-1stPerson","Herbal cigarettes kinda suck"
"NOT-1stPerson","Here McLovin have a cigarette suck it in suck it in long and deep"
"1stPerson","Hereby marking the time of my last and final cigarette"
"NOT-1stPerson","Hes like ""dude I can't believe I lit my last cig backwards I never done that before I was that high"" I only ever done that drunk"
"NOT-1stPerson","Hey at least vaping isnt a trend anymore"
"NOT-1stPerson","Hey Electronic Cigarette thanks for the follow"
"1stPerson","hey twitter just got back from the gym now im gunna go vape and mod out my car"
"1stPerson","hi someone pls bring me taco bell and cigarettes to hooters i work a double and ill kiss u or something"
"1stPerson","Hi #blunation I'm currently enjoying my e cig's in Vanilla and Caramel Cafe'"
"1stPerson","Hi I want to use a UK registered card for delivery of Juul Pods and Juul starter kit to a US (NYC) address Is that possible"
"NOT-1stPerson","Hide all your faculties tobacco packing acrobat"
"NOT-1stPerson","Hide my cig and my med b2b"
"NOT-1stPerson","Highkey send a cig to room 118A"
"NOT-1stPerson","Highlights of #Katamarayudu No smoking add at the beginning #Baahubali2 trailer during interval Rolling titles at the end"
"NOT-1stPerson","His friends Smoked and stole all money he had stay in boarding house Then fucked his friends and put everybody in jail Rhonda Weldon"
"NOT-1stPerson","Hit a cigar then blow a gum then wait for it to pop"
"NOT-1stPerson","Hit me up to smoke WEED not to smoke cigs"
"1stPerson","Hit the vape pen salute the flag grab a pussy and go squat 315 x 5"
"1stPerson","Hm #NoSmokingDay I quit decades ago but am inclined to go buy a packet of cigs today just to demonstrate I won't be constrained by taboo"
"NOT-1stPerson","Hndrxx is the perfect hookah lounge music"
"1stPerson","Hold tight all my early birds coffee and a cig then its a 170 studio sesh and gambling on footy long live saturday mornings"
"NOT-1stPerson","Holla fuck the world with my chest full of smoke"
"1stPerson","Home alone smoking typical weekend"
"1stPerson","Home alone with coffee cigarette and music This is a good morning"
"1stPerson","Home alone smoking playing piano"
"NOT-1stPerson","Hone Harawira Rebecca Ruwhiu Collins -MENTION- amp I on -MENTION- Janet Hoek says #ecigs not led to drop in smoking in UK not true #vaping"
"1stPerson","hooka bar tonite 9 until 754 marshall rode for my bday"
"NOT-1stPerson","Hooka at 6 50 am Cmon lol"
"NOT-1stPerson","Hooka at this time"
"1stPerson","Hooka bar for my birthday no pants just dresses and skirts"
"1stPerson","Hooka bar kinda night"
"NOT-1stPerson","Hooka bar tn"
"1stPerson","Hooka is dead ass trash that shit gives me a crazy ass headache"
"1stPerson","Hooka with my girls"
"1stPerson","Hookah tonight till I'm off the shits and the room feels like a MerryGoRound OFFF THE SHITTTTS"
"1stPerson","Hookah amp Movies"
"1stPerson","Hookah amp wine"
"1stPerson","Hookah amp wine"
"1stPerson","Hookah and beer"
"1stPerson","Hookah and beer type of night"
"1stPerson","hookah and drinks"
"1stPerson","Hookah and Hennesey the way to my mean ass"
"1stPerson","Hookah and ice cream"
"1stPerson","hookah and study part 5 is going pretty good"
"1stPerson","Hookah and venting with my babe -MENTION- Hannah N"
"1stPerson","Hookah and wine"
"1stPerson","Hookah and working on music in my zone"
"1stPerson","Hookah bar"
"1stPerson","Hookah bar surprise"
"1stPerson","Hookah bar gt gt gt"
"1stPerson","Hookah bar again on Friday"
"1stPerson","hookah bar bound"
"NOT-1stPerson","Hookah bar crackin in PR lol"
"NOT-1stPerson","Hookah bar flow with the squad #GMG"
"1stPerson","hookah bar for lil Georges bday lol"
"1stPerson","Hookah bar"
"1stPerson","Hookah bar"
"1stPerson","Hookah Bar"
"1stPerson","Hookah bar now"
"1stPerson","Hookah bar pull up"
"1stPerson","Hookah bar this weekend"
"1stPerson","Hookah Bar This Weekend"
"1stPerson","Hookah bar time Someone come thru"
"1stPerson","Hookah bar tonight"
"1stPerson","Hookah bar w my beautiful baby girl -MENTION-"
"1stPerson","Hookah bar w my bros soon"
"1stPerson","Hookah bar with bae"
"1stPerson","Hookah Bar with the gang"
"NOT-1stPerson","Hookah bar club rave strip club bar none of my shits"
"1stPerson","Hookah bar"
"NOT-1stPerson","hookah bars are legit I recommend everyone go to one"
"1stPerson","hookah breath"
"1stPerson","Hookah dead Time for bed"
"1stPerson","Hookah got my head on fire"
"NOT-1stPerson","Hookah"
"NOT-1stPerson","Hookah is for women"
"NOT-1stPerson","Hookah is life lol"
"1stPerson","Hookah is real love"
"1stPerson","hookah lounge anyone"
"1stPerson","Hookah lounge byob till 5ish"
"1stPerson","Hookah Lounge playing trash right now"
"1stPerson","hookah lounge with my ff -MENTION-"
"NOT-1stPerson","Hookah lounge top golf sushi bar laser tag Korean BBQ You name it"
"1stPerson","Hookah lounges in queens real wocky lol"
"1stPerson","Hookah thurs"
"1stPerson","Hookah time"
"1stPerson","HOOKAH TIME -MENTION-"
"1stPerson","Hookah time #Ultra2017"
"1stPerson","Hookah time"
"1stPerson","hookah time"
"1stPerson","Hookah time"
"1stPerson","Hookah x Wine"
"1stPerson","Hookah brunch latt s and my turtle"
"NOT-1stPerson","Hookah Sip of Sunshine 1738"
"NOT-1stPerson","Hope they put loads of money on cigarettes and leave me alone #poor"
"NOT-1stPerson","how are both sarah and loz wanting to smoke at this time kent is as lit at uni"
"NOT-1stPerson","How can anyone born from 2000 on think it's cool to smoke cigarettes Like pls little one let me show u the way"
"NOT-1stPerson","How can celebrities look attractive smoking Wtf is this shit"
"1stPerson","how do I order to smoke"
"NOT-1stPerson","How does a man crave hookah what type of battyman shit ya on"
"1stPerson","how i spend 200 @ the hookah bar"
"NOT-1stPerson","How interesting on -MENTION- train 548 between MTZ and SUI and male conductor walks by me on car 5 reeking of cigarette smoke"
"NOT-1stPerson","How many calories in a cigarette"
"NOT-1stPerson","How Many Females Don't Smoke Cigarettes"
"NOT-1stPerson","How marriage ruins a man It is as demoralizing as cigarettes and far more expensive #aphorism"
"NOT-1stPerson","how much does vaping contribute to global warming"
"1stPerson","How much street cred do i get for vaping #vape #vapemaster"
"NOT-1stPerson","How ppl say smoking cigs are nasty but steady at the hookah bar"
"1stPerson","How tf do I find myself happy vaping over rolling a cig Younger me is so disappointed"
"NOT-1stPerson","how tf penis enlargement pills exist lol just smoke a cig brush my teeth or jerk off to hentai"
"NOT-1stPerson","How to be cool in Pakistan Watch GOT Select a football club Smoke Cig Listen angrezi gane Rant abt prblms In Pak do nthng to solve em"
"NOT-1stPerson","how to tell a friend vaping isn't cool"
"NOT-1stPerson","How to use the Panthom Cigar in FFXV"
"NOT-1stPerson","How u sipping lean when u bought it from the e cig store mfas down here funny af"
"NOT-1stPerson","How you got a nice car but you smoke cigarets inside"
"NOT-1stPerson","How you smoking hookah in a hookah bar and it's not pulling bro come on now"
"1stPerson","hugewasteofmoney I need to stop smoking cigarettes hugewasteofmoney"
"NOT-1stPerson","Hypnotherapist -MENTION- is LIVE with -MENTION- on No Smoking Day"
"1stPerson","i accidentally learned how to do that dragon vape trick thing i now promote myself to ultimate vape lordt"
"1stPerson","I aint smoke hookah since sat im doin better"
"1stPerson","i almost burned myself with my cigarette wildt"
"1stPerson","I almost set my hair on fire trying to lit up my cigarette"
"1stPerson","I always smoke so if I burn amp you w me we obviously smoking together it's g but don't expect to smoke out you literally every time"
"1stPerson","I am #vaping my 6 dollar fake Kennedy on an eleaf 200watt somethong or other In case you were wondering"
"1stPerson","I am an hookah enthusiast I swear"
"1stPerson","i am drunk and tried to light a cig but lit it from the filter this is now the second time i've done this"
"1stPerson","I am enjoying a good cigar with my evening constitutional inside of course"
"1stPerson","I am fueled by coffee and cigarettes"
"1stPerson","I am holding my cigarette in the anger position since you're so terrible at reading non verbal cues"
"1stPerson","I am in Indiana up way past my bedtime smoking 2 drags off a cig n idgaf sum1 plz call the cops"
"NOT-1stPerson","i am listening to metallica and telling my mom to fuck azealia banks in the shower while smoking a cigarette fully clothed"
"1stPerson","I am on mdma dancing around my pool listening to Fleetwood mac smoking a cigarette"
"1stPerson","i am smoking a cig in jamaica"
"1stPerson","I am smoking but doing my homework bc priorities"
"1stPerson","I am so tired I just picked up my vape and tried to drink from it"
"1stPerson","I am thinking of getting a job so I can buy cigarettes and getting my nails done and getting my hair cut"
"1stPerson","I b gettin tired of smoking outta boredom but den I b like Ima smoke regardless"
"1stPerson","I be craving cigarettes so bad man fuck"
"NOT-1stPerson","I be seeing cute ass niggas smoking cigs and instantly get turned off"
"1stPerson","I been smoking this cigar too long Almost ratchet tv time"
"1stPerson","I been smoking to much lately man"
"1stPerson","I been so calm lately or maybe cause I smoke and think a lot"
"NOT-1stPerson","I bet Jim Leyland wants a cigarette right about now"
"NOT-1stPerson","I bit down hard on the e cigarette tip and glanced at his toolbox No doubt there was at least one gun inside of it #2bittues #amwriting"
"1stPerson","I bought a pack of cigs lastnight I fucking hate myself but this malboro black feels so right on my lips"
"1stPerson","I bought brownie and mint chocolate shisha I'm really excited to try it out That's how lame I am lol"
"1stPerson","I bought dried leaves to vape n got raspberry leaf amp orange blossom Bought orange blossom for depression but it's to help with anxiety"
"NOT-1stPerson","I broke up with a bih when I found out she smoked cigs Had me super bent"
"1stPerson","i burned myself w my cig lmfao great"
"1stPerson","I came out here to smoke not watch mall security vape and assault a shopping cart"
"1stPerson","i can legally drink and smoke tobacco in canada on thursday"
"NOT-1stPerson","I can smell my boyfriends e cig and he's all the way in the living room while I'm in the bedroom"
"1stPerson","i can't believe i walked around smelling like cigarette for 6 years"
"NOT-1stPerson","I can't believe I've made it almost 22 years of life without getting addicted to cigarettes"
"NOT-1stPerson","i can't believe my roommate is a vape pHD"
"1stPerson","I can't believe some of the shit I hear at work while smoking all imma say is ""ladies suck ya mans dick"" cause some scuttlebucket will"
"1stPerson","I can't eat unless I smoke if I don't smoke I won't have appetite"
"1stPerson","I can't feel my face I was just date vaped"
"NOT-1stPerson","I can't fuck with a girl that smoke cigs"
"1stPerson","I can't fw hookah while I'm drinkin"
"NOT-1stPerson","I can't have a girlfriend that smokes I don't"
"NOT-1stPerson","I can't stand cigarette smokers Neither do I tolerate sheesha peeps"
"NOT-1stPerson","I can't stop listening to cigarette song"
"NOT-1stPerson","I can't stress how unattractive smoking cigs is"
"1stPerson","i can't wait to smoke a cigarette"
"1stPerson","I can't wait to smoke mojito flavored cigarettes with Patri again"
"1stPerson","I can't wait until I'm in Florida with a beer in my hand smoking a cigar on the beach"
"NOT-1stPerson","I cant stand ppl who seek attention 10 9 oh u smoke congrats u drink GOOD FOR U"
"1stPerson","I CANT WAIT TO VAPE IN IT"
"NOT-1stPerson","i could see people smoking their cancer sticks in the comfort of their own shit but whyyy are you blowing smoke in my face"
"1stPerson","I could use a cigarette right about now"
"1stPerson","i couldn't sleep so i just vaped a bunch of mugwort and now i simultaneously feel witchy as hell and like the biggest loser of all time"
"NOT-1stPerson","I crave Hot Cheetos like smokers crave cigarettes"
"1stPerson","I deal with stress by blocks of cigarets coffee sleep abuse sleep deprivation and emotional spikes All that sounds rather unhealthy"
"1stPerson","I didn't freeze my balls off smoking a cig today"
"NOT-1stPerson","I dislike the smell of cigarettes it's just nasty"
"NOT-1stPerson","I do not party I do NOT drink I do NOT smoke (weed or ciggs ewww) all I do is chase this money"
"NOT-1stPerson","I do why I keep getting pneumonia (takes drag off cigarette) its crazy"
"1stPerson","I don't do no talkin when I smoke"
"1stPerson","I don't even b using chewing tobacco I Jss b eating cigarettes"
"NOT-1stPerson","I don't hate much in this world but I hate cigarettes little cancer sticks of evil"
"NOT-1stPerson","i don't know anyone around here who smokes cigs"
"1stPerson","I don't know how to stop smoking cigs but I need to start figuring it out"
"NOT-1stPerson","I don't know why I ain't get two hookah pens"
"NOT-1stPerson","I don't know why you kids wanna hang out with Rohan so much He's a vape lord"
"NOT-1stPerson","I don't mind smokers but smokers bonding over smoking is unfair and something I envy #smoke #cigs #RachelGreen"
"NOT-1stPerson","I don't see the fun in standing around a table smoking hooka at a club where you can barely move"
"NOT-1stPerson","I don't smoke cigarets but chain smoking with the -MENTION- would be pretty epic"
"NOT-1stPerson","I don't think Sarri has ever needed a Marlboro red as much as now"
"1stPerson","I don't think the new roomie appreciates my vaping habit"
"1stPerson","I don't understand how Harry has convinced me to come out to a shisha bar"
"NOT-1stPerson","I don't understand how one can smoke soo many cigarettes"
"NOT-1stPerson","I don't understand some people u can think there the most innocent person in the world u turn ur head there smoking a juul like what"
"NOT-1stPerson","I don't understand why The Coffee Bean amp Tea Leaf would allow customers to smoke indoors"
"NOT-1stPerson","I don't understand women who smoke cigarette"
"NOT-1stPerson","I dreamt I caused a fire with my cigarette"
"1stPerson","I drink the venom to release the pain Chain smoking I'll suffocate"
"1stPerson","I enjoy how generic my morning is with cigarette daydreams coffee and a cigarette"
"1stPerson","I envy people who dont crave cigarettes and just smoke when they drink"
"NOT-1stPerson","I feel for my party Hobartamainiacs I tried to get a rum and cigar legislation passed but the Democrats said no so I told Will take Cuba )"
"1stPerson","i feel like an old man sitting outside smoking a cig"
"NOT-1stPerson","I feel like chicks who smoke hookah's got weird vulva's"
"1stPerson","I feel like having those deep convos over a glass of wine ciggs in place biltong and snacks"
"1stPerson","I feel like hearing music smoking out have one drink an a few dances"
"NOT-1stPerson","I feel like I'm always the only one in the group who doesn't smoke cigarettes and they all leave me to go outside amp puff on cancer sticks"
"1stPerson","I feel like shit and I probably shouldn't be vaping but the STRESS FAM"
"1stPerson","I feel like smoking"
"1stPerson","i feel like walking out the gym and rewarding myself by chain smoking 5 cigarettes is probably quite counterintuitive baby steps"
"NOT-1stPerson","I feel sorry for all my tobacco users in Ca sorry haha"
"NOT-1stPerson","I find it so disrespectful to walk up to a rally (or another crowded group) and light up a cig"
"1stPerson","I find myself every night or ever other night doing hookah #addiction #applemint #"
"1stPerson","I forgot my phone while on the toilet so I spent my time ready a tobacco pouch found in my pocket #struggle"
"1stPerson","I forgot to smoke more"
"NOT-1stPerson","i found cigarettes in my ashtray and i don t even smoke"
