"labels","text"
"not-current","I didn't freeze my balls off smoking a cig today"
"current","I don't do no talkin when I smoke"
"current","I don't even b using chewing tobacco I Jss b eating cigarettes"
"current","I don't know how to stop smoking cigs but I need to start figuring it out"
"current","I don't think the new roomie appreciates my vaping habit"
"not-current","I don't understand how Harry has convinced me to come out to a shisha bar"
"current","I drink the venom to release the pain Chain smoking I'll suffocate"
"current","I enjoy how generic my morning is with cigarette daydreams coffee and a cigarette"
"current","I envy people who dont crave cigarettes and just smoke when they drink"
"current","i feel like an old man sitting outside smoking a cig"
"current","I feel like having those deep convos over a glass of wine ciggs in place biltong and snacks"
"current","I feel like hearing music smoking out have one drink an a few dances"
"current","I feel like shit and I probably shouldn't be vaping but the STRESS FAM"
"current","I feel like smoking"
"current","i feel like walking out the gym and rewarding myself by chain smoking 5 cigarettes is probably quite counterintuitive baby steps"
"current","I find myself every night or ever other night doing hookah #addiction #applemint #"
"current","I forgot my phone while on the toilet so I spent my time ready a tobacco pouch found in my pocket #struggle"
"current","I forgot to smoke more"
"current","i go to the hookah lounge every so often but i don't really count that as smoking"
"current","I got waiting for the first person to get my hookah right dm me"
"not-current","i got a piece a lil piece amp a capsule that's also a grinder amp i hardly smoke anymore lmao"
"current","I got a project in mind so wine glass and cigar I'm getting the beats together"
"current","I got a project in mind so wine glass and cigar I'm getting the beats together"
"current","I got cigs in my ear like -MENTION- so you know i'm feelin good"
"current","I got my own cloud 9 right here in bed this hookah machine a beast bruh"
"not-current","I got reallly nostalgic about menthol cigarettes I miss smoking sometimes"
"current","i gotta finds me a bitch that can hit the #juul like i can"
"current","I gotta stop smoking cigarettes Fr"
"not-current","I had my first cigarette since January today lol"
"not-current","I had the cops called on me for smoking an electronic cigarette outside at Waterfront in DC Asked them to arrest me They declined"
"current","I hate and love the fact that i hate and love smoking"
"current","I hate black and mild amp Cigarette smoke eww tf"
"current","I hate cigarettes"
"current","I hate my cigarette cravings"
"current","I hate my life vaping darkslategray"
"current","I hate myself so much I'll probably start vaping again"
"current","I hate smoking in my car because I feel like that shit takes so long to completely air out I got like 3 air freshness and febreeze"
"current","I have made the financial decision that I am purchasing a JUUL"
"current","I have not vaped at all today It completely sucks but that's ok because I'm healthy now goddammit"
"not-current","I haven't actually smoked in about a month and a half maybe two and I just can't express how good I feel"
"not-current","I haven't smoked hookah for a whiiiileeeeeeee and now I'm light headed asf"
"not-current","I haven't smoked in 4 days I'm proud of myself"
"not-current","I haven't smoked in like two weeks"
"not-current","I haven't smoked in over 24 hours how tf am I supposed to sleep"
"not-current","I haven't smoked In so long"
"not-current","I haven't smoked weed like in 2 days who am I lol I've just been smoking cigarettes"
"current","I haven't vaped in a while idk if I should go back to vaping or not"
"not-current","i havent smoked in so damn long"
"current","i honestly can't wait to go home make pizza and smoke hookah oh and cuddle with my dogs"
"current","i honestly might try vaping or something maybe the nicotine will help with stress and shit"
"current","I honestly think it's really nice when people compliment me on my vape juice mix"
"current","I hope I find another cigar"
"current","I hotbox my car with a juul bc I'm a cool kid lmao"
"not-current","I hung out with a vape"
"not-current","I just ashed my cigarette in my captain crunch"
"current","i just ashed my cigarette with such force that the filter came off then burnt myself trying to light a new one why am i such a mess yikes"
"not-current","I just bought some cigarettes sooooo fw ya girl"
"current","I just burnt myself on my foot w my cigarette if that doesn't show how drunk i am idk what will"
"not-current","I just drank camilas fucking ecig juice"
"not-current","I just dropped a glass bottle of tobacco all over my kitchen floor So that's how my night is going"
"not-current","i just dropped my cigar off the balcony wtf"
"current","I just drove all the way home and back to school because I forgot my cigarettes"
"current","i just got out of the shower amp now i want a cig"
"not-current","I just got the biggest headrush from my juul i might passout omg"
"not-current","I just had a panic attach and smoked a cigaret at the frozen beach who tf am I"
"current","i just lit a cig the wrong way"
"current","I just lit my cig backwards"
"current","i just lit my cig with an electric stove lmao"
"not-current","I just lit my cigarette at the filter #fuckme"
"current","I just need a cig ("
"current","I just packed my cigs the wrong way"
"current","I just remembered why I don't hang around naked I just burned my penis with a cigarette Ow ow ow"
"not-current","i just set the fire alarm off in my room from vaping this has gone too far"
"current","I JUST SHOT A CIG OUT OF MY MOUTH 2 3 FEET THEN CAUGHT IT THE RIGHT WAY IN MY MOUTH"
"not-current","I just smoked with him and he didn't flirt with me but it was cool I had my bathing suit on but we didn't swim"
"current","I just tried to bake my room with vape and now I have hiccups wtf y0"
"current","I just tried to light my cigarette w my lipstick sooo there's that"
"not-current","I just vaped in front on my mom and she gasped and said ""you took a hit """
"current","i just wanna smoke my cig bruh"
"current","I just want to smoke a fucking cigarette"
"current","I just work smoke hooka and sleep #nofriends"
"current","I keep saying I'm done smoking but I continue to smoke"
"current","i kept saying i'll cut down on my ciggs but i kept smoking more zzzz"
"not-current","I knocked over the hookah and a coal fell on my leg and now there's a big welt ("
"current","I know too much im tryna smoke myself stupid"
"current","I laughing at my phone outside of bif cat smoking a cig at night"
"current","I leave my cigarettes in my room everyday and everyday I regret it"
"current","i left my vape at home this is going to be a shitty day"
"current","I like hookah"
"current","I like smoking cigarettes with my friends"
"current","I lit the wrong end of my cigarette"
"current","i literally just walk out side with a cigarette"
"current","i look forward to buying coffee and enjoying a cigarette tomorrow"
"current","I look like I eat cigarettes for breakfast lmaoooo wow I hate myself"
"current","I love downtown smoke nights"
"current","I love finding my e cig under my pillow like an adult tooth fairy"
"current","I love hookah Like too much"
"current","I love listening to calming music while I'm smoking"
"current","I love smoking in my porch"
"current","I love smoking papers"
"current","I LOVE TOBACCO MORE THAN MY PARENTS"
"current","I mean I just ate about 2 hours ago but I'm ready for a big ol joint a whole box of wine mass cigs and some gd TACO BELL"
"current","I might be town bitch but I'm also smoking in doors at my favorite bar Sooooo"
"current","I misplaced my vape but it's ok I also convinced myself it's in one of my jackets #typical"
"current","i miss cigarette"
"current","I miss sitting outside smoking lol"
"current","I miss smoking cigs on the beach at 2am"
"not-current","I miss the days when I could just smoke and make music"
"not-current","I miss the late nights and fires beside the river sneaking beer and cigs hoping cops didn't pull up"
"current","I need a cigarette"
"current","I need a cigarette to deal with all of these irrelevant ass people trying to hijack my energy I cba"
"current","i need a cigarette)"
"current","I NEED A FUCKIN CIGARETTE"
"current","I need a mocha frappe and a cigar this morning"
"current","I need fckn liquor and hooka already smh"
"current","i need money for cigarets"
"current","i need money for cigarets xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"current","I need some healing right now the way I'm smoking"
"current","I need to be sippin Don Julio on a balcony somewhere on the coast maybe even a nice cigar"
"current","I need to smoke"
"current","i needa cig"
"current","I needa smoke this one away"
"current","I needed my cigarettes"
"current","I neeeeeeeed a cig so badly lol"
"current","i only have 3 cigarettes but watch me smoke two of them on this break"
"not-current","I only just lit my cig and the bus came just my fucking luck"
"not-current","i only vaped once and i choked on the smoke"
"current","I probably wouldn't smoke as much if I had something to occupy me"
"not-current","i really stopped my vape"
"not-current","I remember having hookah session with homies good times"
"not-current","I remember smoking in back of the mall and I got chased by the 12"
"current","I roll cigarettes with no filter wear vans and I'm an absolute fukkin waste"
"current","I saw 1984 last night for 1st time It's happening I need a glass of good scotch and 2 Marlboro reds before it all goes boom"
"current","i sent my helper earlier to get some cigarettes and this motherfucker brought back some virginia slims"
"not-current","I shit real good at my grannys cause we drink coffee and smoke a cigarette to clean us out"
"current","i should be vaping right now"
"current","i should get my cigs around 12 30"
"current","I sit beside my bed hairy gut drooping above Minion pajama bottoms vaping convinced of the suffocating isolation which confronts us all"
"current","I smoke a lot of cigarettes for a landless man"
"current","I smoke and keep it mello"
"current","I smoke cigarettes to state my position clearly"
"current","I smoke cigs too"
"current","I smoke e cigs but still ("
"current","I smoke entirely too much"
"current","I smoke hookah btw Nothing else lol"
"current","I smoke my pain away lol"
"current","i smoke rothmans more than i think i does because ion keep count"
"current","i smoke the hunger away"
"not-current","I sneak out to a rooftop to smoke a cigarette at an urban party a quirky girl shows up and starts to talk to me Me ugh"
"current","I spent way 2 much money on vapeing shit But its like a 24 7 CIG and 24 7 dab hit"
"current","I stay coughing my lungs out cause of this cough but still with them smokes fml"
"current","I sure hope my orders from -MENTION- and -MENTION- ship soon I'm ready to get off the smokes"
"current","I swear I got everyone smoking blacks now"
"current","I think a hookah sesh is in order"
"not-current","I think being kicked out a smoking for laughing too loudly literally sums up me and -MENTION-"
"current","I think by the time i finish intern my intake of ciggs will be reduced to 50"
"current","I think I eat an actual meal as often as I go out and smoke"
"not-current","I think I just smoked too much"
"current","I think I need to vape again"
"not-current","I think I replaced smoking with coffee so I replaced nicotine for caffeine"
"current","I think i smoke too much now"
"current","I think I'll go burn a cig or five anyone wanna come"
"current","I think I'm in love w a juul"
"not-current","I think it's saw t say I've kicked cigarettes for good with this doosh flute #vape"
"current","i think my mom found my cigarette i'm gunna kms"
"not-current","I tried smoking a cigarette once Made me puke Dunhill lights thi I guess"
"current","I try not to smoke at all but the way it soothes my restless mind"
"not-current","i use to drink amp smoke so much as my escape"
"current","I used to fantasize about being in a three way Now most of my fantasies involve cigarettes"
"current","i vape"
"current","I vape so my lungs can see the clouds I'm about to blow"
"not-current","i vaped at a stoplight and ""vapenation "" was shouted at me im just tryna quit cigs man #endthestigma #vapelivesmatter"
"not-current","i vaped on the junebug it persisted"
"not-current","I vaped today and now I'm questioning myself as a person"
"not-current","I vaped tonite am I a woman now"
"current","I wana go to a hooka lounge"
"current","I wanna go smoke but all my friends too busy for me"
"current","I wanna smoke but my beds too comfy to get up #TheStruggle"
"current","I wanna smoke my hookah but my ass too lazy to get up and make it"
"current","I want a damn #cigarette case to put my smokes in that wont let em move around So when I open it half my #tobacco isnt loose"
"current","I want hooka right now"
"current","I want to go to a resort somewhere in Dubai and smoke shisha with my boo while watching the sunset"
"current","I want to smoke hookah so bad"
"current","I wanted to smoke a cig and cry in the privacy of my own backyard but someone is fixing my fence"
"not-current","I was dancing and I vaped an existential fox"
"not-current","I was vaping and I vaped a rave trans woman"
"current","I wish dan would move out here we'll be somewhere eating amp or smoking right now"
"current","I wish I could enjoy this cigar but it's too damn windy outside right now"
"current","I wish I was fuckin' sick enough to hit a Juul in lecture"
"current","I wish my friend would wake up I'm trying to smoke"
"current","I wish some company to coffee cigarettes and deep talks"
"not-current","i woke up this morning with a lot of pasta sauce on my shirt and 0 cigarettes"
"current","I worked 6 hours and forgot how to smoke a cigarette Try not to fall in love with me"
"current","cigarette and then putting myself to sleep again some how"
"current","hookah really does give me a headache"
"current","Time to settle in for the evening with my #coffee and #cigarettes buy some #porn and jack off Lust is good"
"current","I'd like sell my soul for a cigarette rn"
"current","i'd rather keep vaping instead of smoking cigs"
"current","I'd sell my dog for a cig right now"
"current","I'll attempt sleep after this hookah die out"
"current","I'll be here vaping"
"current","I'll be smoking a cigarette in front of the movie theatre at 7 o'clock"
"current","I'll be vaping under the stars and that's cool too I love my nugget"
"current","I'll figure my life out sooner or later but for now I'll just continue to lay low keep quiet and smoke in peace"
"current","I'm about to break down and order hookah"
"current","I'm back in the cigar smoking game"
"current","I'm bout to smoke and go to bed this sleep should be great since I ain't gota work in da am"
"current","I'm crying and chain smoking cigs bc there's ants in my kitchen and I'm SCARED"
"not-current","I'm done smoking"
"current","I'm done smoking til my birthday then I'm done after that for good"
"not-current","I'm done with smoking period"
"current","I'm eating baba ganoush and drinking mango juice and smoking hookah and cigarettes AND I'm alone so I basically feel heavenly"
"current","i'm eating chocolate chip cookies and smoking a cane mint hookah and it tastes exactly like mint chocolate chip ice cream"
"current","i'm getting my nails done while smoking the juul and i feel like a bawwwsss"
"current","I'm gone break down this cigar puff puff no passing"
"current","I'm gonna quit smoking cigarettes Until the prices go up"
"current","I'm having shisha alone I ordered the wrong flavour I wana crtyyhg"
"current","I'm here to just smoke a cigar and watch the flame grow"
"current","I'm in ocean drive smoking big 50s wit da top down"
"current","i'm in the hot tub smoking w my feet up"
"not-current","I'm jus now cleaning up from spring break there's so many cigs and beer cans on my balcony"
"current","I'm just coolin at Carmens tryna make something to smoke out of"
"not-current","i'm just kidding i actually vaped to find out next on Disney Channel"
"current","I'm just laying here wanting a cigarette but joe is passed the fuck out with one leg and one arm over me"
"current","I'm just sitting here Doing what I do Smoking on a big fatty vape"
"current","I'm just smoking Ports chilling on da porch"
"current","I'm just trying to hookah"
"current","I'm just tryna piss and have another cig or two"
"current","i'm just trynna get drunk get tats and go to the hookah bar"
"current","I'm just vaping on my ex bitch"
"current","I'm loving my hookah pen right now"
"current","I'm most m relaxed with a cig in my hand my sketch book out in front of me with a cup of coffee"
"current","I'm not going to bed till the battery dies on my eCig #thuglife"
"current","I'm officially a poor person rolling with drum tobacco"
"current","I'm on a cigarette diet right now But instead of trying to lose weight I'm just trying to kill myself"
"current","I'm on my first break at work and I'm sitting in my car smoking and this jackass just parked so close I can't get out of my car"
"current","I'm out here amongst the trees with new music smoking a cigar This is vacation"
"current","I'm out of cigarettes"
"current","I'm out of cigs Would it be weird to smoke a cigar It's my only option"
"current","I'm out of smokes sos"
"current","I'm outside on the porch smoking and I sware I hear like every animal out here right now Wtf is going on"
"current","I'm really out here smoking a cig while it's raining"
"current","I'm really playing darts right now in the middle of my living room smoking a cigarette"
"not-current","I'm sick lost my juul already"
"current","I'm sitting by my pool drinking a nice Brunello and smoking a Cuban Live better work""UNION"" I say"
"current","I'm sitting here drunk af thinking about how bomb a cig n coffee will be in the morning lmfao"
"current","I'm sitting here in the bathroom smoking a cig listening to youtube and the radio at the same damn time Feeling blessed"
"current","I'm sitting in a casino bar enjoying a cigar and a beer while writing in my idea journal Not gambling makes me feel so mature #Magic"
"current","i'm sitting in my car smoking a stoge bc it too cold n windy for me and i fucked up by wearing shorts"
"current","I'm sitting on a wet lawn chair #smoking"
"current","I'm sitting outside @ work smoking a cig and trying to not cry which isn't going well"
"current","I'm sitting right between two boys amp two girls amp I'm smoking the tobacco pipe with the guys amp talking makeup with the girls SIMULTANEOUSLY"
"current","I'm smoking a cig and going right back to sleep"
"not-current","i'm smoking a cigarette at 1 am and this drunk homeless guy said ""shaka bro "" as i walked by and i gave him a cigarette"
"current","I'm smoking a cigarette at work because my stomach hurts"
"current","I'm smoking but no butt rubbing"
"current","I'm smoking right now"
"current","I'm sneaking eating Doritos at the hookah lounge"
"not-current","I'm so bad at adulting today that I accidentally just mixed banana and absinthe e liquid together Surprisingly it's not terrible"
"current","I'm so good at smoking virtually with my ballpoint I deserve a cigarette"
"not-current","I'm so happy I'm not craving cigs"
"current","I'm so mad at myself for just throwing my juul across Krista's yard will be missed ("
"current","I'm SO READY to call my GP at 8 I have tea planned a cig ready the phones on charge I may only have one eye but I'm GETTING A DAMN APPT"
"current","I'm so tired I lit the wrong end of my cig -MENTION- im the one u write ur songs about"
"current","I'm sorry but I can't pay for my chain smoking cigarette addiction with ""exposure"""
"current","I'm still up and tryna smoke Hmu if u with it"
"not-current","I'm taking such good care of my body and mind lately I don't smoke cigarettes anymore I don't drink any type of alcohol anymore"
"current","I'm the type of person that preaches good vibes and energy while lighting a cigarette"
"current","I'm the type to do my hair and get dressed just to sit on Snapchat smoking my hookah"
"current","I'm too lit and I'm bout to spark this hookah with my lil brother"
"current","I'm trying to go somewhere in STL with bottomless mimosas and hookah"
"current","I'm tryna go to a hookah bar"
"current","I'm tryna go to the hookah lounge later"
"current","I'm tryna look at a nice view of the bay and smoke my Cuban cigar"
"current","I'm tryna smoke already"
"current","I'm tryna smoke cigarettes take a drive and listen to Mac DeMarco"
"current","I'm tryna smoke lol"
"current","I'm tryna smoke n sip in peace but it sound like somebody out here dying"
"current","I'm tryna walk out in a beater with a floral pattern shirt unbuttoned with Cuban link and a cigar in my mouth today"
"current","i'm vaping am i cool yet"
"current","I'M VAPING LOOK AWAY"
"current","I'm vaping while holding back tears this is the most tragic night of my life"
"current","I'm vaping with anger"
"current","I'm watching superbad while smoking a cig and drinking coffee a good start to the morning"
"current","I'ma slip into these pj's smoke this cigarette and knock out Bedtime really is my favorite time"
"current","I've a morning ritual of watching an episode of narcos while smoking a cig and a cup of coffee beside my candles"
"current","I've been sleeping later I've been breathing stronger I've been smoking deeper but the memories won't stop A TUNEEEEE"
"current","I've been trying to refrain from drinking and smoking but I keep having dreams where that's all I do"
"current","I've decided to give up gloving to pursue a new flow art called vaping"
"not-current","I've fully missed sitting out front on my steps and smoking cigs and reading and not freezing my ass off"
"current","I've gotten to the point where I can tell my constant cigarette smoking is causing me to look older than I actually am and that's terrifying"
"current","I've made a lot of stupid decisions in my life but the one I regret the most is getting hooked on smoking cigs"
"not-current","I've smoked so much today"
"current","I've started feeling better within myself but started smoking more cause I'm moodier and stressed lol"
"current","I m smoking to escape the distant memory of us"
"current","Idk where I am but I'm in a strip club chillin w the owner smoking a cig"
"current","idk why but I hate smoking in my car now"
"current","Idk why vaping is so satisfying but I love it"
"current","If anyone wants to go to sheeshas tonight then hmu"
"not-current","If anyone wonders why I'm cranky no cigs in two days no whiskey Barely any alcohol and more work than usual don't judge me"
"current","If cigarettes don't kill me than over thinking probably will"
"current","If food liquor and hookah are there count me in"
"current","if i smoke a cig off a pill does that make me tar xan"
"current","If I vape while I'm sick rn will I get bored so easily"
"current","If I vape while I'm sick rn will I get those goosebumps every time"
"current","If I vaped anymore I think I'd end up being called nicotine"
"current","If my enemy is a fire it only burns my cigarette"
"current","If someone wants a Juul ecig you can have it for 40 I just bought that bitch today but want a g pen instead"
"current","iLight my cigg lol"
"current","im a vape god"
"current","Im about chain smoke this whole pack"
"current","Im actually in the mood for hookah"
"current","Im at archers smoking area anyone should drop by and say hello ik extra friendly"
"current","Im bout to pull up on the block and bring the hookah outside and bump el Alfa"
"current","Im eating icing and vaping trying to makes o's #I nsomniACa suckit"
"not-current","Im finna quit smoking frfr"
"current","im going thru a crisis listening to gucci mane vaping life is guhhhd"
"current","im here to respect women and smoke cigarettes but im already out of cigarettes"
"current","im in vapeing heaven and have achieved nirvana"
"current","Im just kickin my shit just cooling bout to smoke another O"
"current","Im just trying to smoke and not feel shit"
"current","im just vaping right now profusely"
"current","im sitting in the mothrrfucking dark and smoking"
"current","im smoking one got another one"
"current","Im so craving to vape on right now ogoshhhhhh"
"current","im standing outside drinking wine out the bottle n smoking a cig in a silk robe i am tht bitch"
"current","im tryna vape"
"current","im vaping 1 of the new flavours cool mint if u like menthol type flavour this is a good 1 not to overpowering either )"
"current","im vaping w my mom huh"
"current","im waiting to drop either my phone or my juul in the tub currently"
"current","Ima put a hooka in the crib already got the Bluetooth speakers with some drank i might not ever leave the spot if it ain't about or"
"current","Ima sit here w my hookah and listen to Take Care until I'm not disappointed anymore"
"current","Ima smoke Ahh cig finish my old coffee an shower"
"current","Imma just stick to smoking"
"current","in a jet is where my mind is so i light another cigarette to calm me down"
"current","In a jet is where my minds at so I light another cigarette to calm me down"
"current","In a pub with British American Tobacco"
"current","In need of a cigarette"
"current","in need of ciggs and alcohol rn"
"current","In other news no cigs at work Home is another matter Baby steps"
"current","In pajamas and my beaten to shit 750s drinking tea and smoking a cig on my balcony"
"current","In the ATX got my pack of cigs ready to hit 6th"
"current","In the car smoking my Pura soul cigar"
"current","In the hookah bar falling asleep"
"current","In the mood for a nice cigar"
"current","inhales two cigarettes in hopes of shortening my miserable work life"
"current","Ion eat unless I smoke"
"current","Ion even feel like smoking that's how aggravated I am dawg"
"current","is anybody near MCAD right now and has cigarettes like im for real lol"
"not-current","Is it normal for shisha to make e feel mwi am absolute mash man"
"current","Is it wrong of me to crave a cigarette so bad"
"not-current","It started with shisha Ended with my stupidity"
"current","It will be nearly 50 degrees this weekend in AK I get back from the field Thursday This will be a cigar and gun filled weekend"
"current","It's 1 00pm and I'm smoking hookah"
"current","it's 10 18am and i am craving a cigarette and an entire bottle of wine on a warm porch"
"current","It's 2 pm and I'm barley having my coffee and cigarette smh"
"current","It's 2am on a school night and lauren and I are drunk at the hookah bar"
"current","It's 4 P M on a Monday and here I am on the back patio feeling my Pinot Grigio buzz already in a camo robe enjoying a cigarette"
"current","It's 4am and I'm tryna talk myself out of driving for cigarettes"
"current","It's 5 am and I'm just eating and smoking"
"current","It's 5 o'clock pig Time for a white wine and a cigarette"
"current","It's 5AM and I'm sipping decaf and smoking a cig"
"current","It's 6am I'm sat in the cold alone smoking so if anyone wants to be my mate hmu"
"current","It's almost 10pm on a Thursday Not gunna lie I feel pretty rebellious being on my patio w a beer and a cigar"
"current","It's ALMOST too cold for a cigarette outside Almost"
"current","It's always been usual for me to watch football game and sheesha with 8 guys (Habibi's friends)"
"current","It's an ice coffee and 2 cigar evening"
"not-current","It's been nine days now without a cigarette"
"current","it's cold but i like stars so im gonna sit out here and smoke 10 cigarettes"
"current","It's impossible for me to smoke w o having a water bottle likes I needs that"
"current","It's past 4 20 shit imma smoke 1 more brush my teeth and sleep on the couch cause All my clothes are on my bed"
"current","It's really 5 30 am and I'm up smoking hookah with my dog watching cats and dogs I'm officially washed"
"current","It's snowing and I'm vaping rosin"
"current","it's snowing and im standing outside in shorts smoking a cigarette"
"current","It's so beautiful out Good night to hookah"
"current","It's so cold smoking a cigarette is miserable"
"not-current","It's so weird how I used to smoke party amp drink sm amp now I can barely take shots haven't smoked in months amp go clubbing shows more"
"current","It's time for a cig my nig"
"current","it's time for the daily ""I'm so fucking bored at 2pm in the afternoon what the fuck am I doing with my life"" cigarette"
"current","It's times like these I wish I had a damn cigaret"
"current","It's times like this when I'm doing React development on a Macbook using an e cigarette that I wonder when I became such a fucking hipster"
"current","It's to cold to be smoking a cig in a t shirt"
"current","it's vape time let's have fun #vape #vaping #vapor #vapefun #pipe #smoking #ecig #cigarette"
"current","ITS LIT MY MOM GAVE ME THE GO TO SMOKE HOOKAH IN MY ROOM"
"current","ive never needed a cigarette more in my life and i cannot even have one"
"not-current","Js somebody almost lit my finger instead of mu cig"
"current","jus thinking about maybe I'm drinking and smoking too much lately and I using it to cope with stuff"
"current","jusko stress pls don't let me smoke another pack smh"
"current","Jussszz me in panties n vaping lol gunnite"
"not-current","just a tip don't eat Takis then smoke a cig ur throat will burn amp it is not enjoyable"
"not-current","just beer no more ciggs"
"current","Just begins calmly smoking a cigar on the TL"
"not-current","Just bought a soft pack of cigs Is this the 90's"
"current","Just getting home Shower Hookah amp A Glass Of Wine"
"current","Just getting off work and need a cigar but all these fucking stores close at 12am"
"not-current","Just got a warning for vaping in a non smoking room"
"current","just got hit by a car walking but the guy gave me a cigarette we cool"
"current","Just laying on the floor smoking hookah in my empty room I love my roomies"
"current","Just lit the wrong end of my cigarette and now I'm dying"
"current","Just lit the wrong side of my cig for the first time in my life and I feel so ashamed"
"current","just made direct eye contact with my neighbor while I'm smoking a cig out my window w a face mask on amp towel on my head gmorning"
"current","Just need to smoke and talk"
"not-current","Just over two weeks smoke free #NoSmokingDay"
"current","just painted my nails gunna smoke a cig i'm chillin"
"not-current","Just plugged in 3300mah #ecig battery I #vape d 1855 puffs at 6 5w over 40hrs (down time not subtracted)"
"not-current","Just remembered -MENTION- dropped the fucking hookah on the homie lmao"
"not-current","just sent my mom pics of me smoking hookah welcome to adulthood )"
"not-current","Just smoke my ecig in front of the no smoking sign then flipped off the mall cop"
"not-current","Just smoked so I can smoke"
"not-current","just smoked feeling good"
"current","Just smoking a cigar by the ocean it's fine"
"current","just talking over cigarettes and drinking coffee"
"current","Just talking over cigarettes and drinking coffee"
"current","just tried to grab my cig out my mouth to toss it and str8 ripped the cherry off with my fingers"
"current","Just tried to light my cigarette with a Chapstick"
"current","Just used my torch to light my cigarette lol"
"current","Just vaping and daydreaming"
"current","Just woke up for a cigg' and saw myself in the mirror ndi ya shisa yaz' that why ndi jola nou di laas"
"current","kfc coffee and ciggs"
"current","Kids asleep reading comics smoking a cigar on my patio while listening to TLC Weird evening"
"not-current","Kinda miss beer and cigarettes But im still having a good time with smoothies and homemade baked goods"
"current","laid back smoking shisha i'm in heaven"
"current","laiddd back chilling smoking never worried"
"current","Lat cigarette I hate life right now"
"current","Late night smoke session wit my fine ting"
"current","Late night smokes are one of the best"
"current","Lately I'm smoking more but I'm focused more"
"current","Laying back listening to #TREMAINETHEALBUM w this hookah flowing and this red wine"
"current","Laying in bed fresh out of the shower naked listening to jazz and smoking a cigarette"
"current","Laying in bed naked smoking a spliff"
"not-current","Left my home w a dream n a cigarette"
"current","Legitimately so miserable that I'm smoking a fucking cigarette @ work rn"
"current","let me smoke cause"
"current","let me take this late nite drive and jam out hit the hookah and clear my mind"
"current","let's all hang out and discuss our vape tricks )"
"current","Let's go smoke sum sheesha we out in clapham tonight bitches will be going live on instragram around 8 or 9pm"
"current","Let's go to hookah"
"current","Let's hit the hookah bar"
"current","let's just smoke and listen to -MENTION- and -MENTION-"
"current","Let's light a cigarette and enjoy this night"
"current","Let's Smoke amp Lay Up"
"current","lets smoke #sochill"
"current","life is too short not to smoke cigarettes"
"current","Light me up a cigarette and put it in my mouth You're the only one that wants me around"
"current","Light me up a cigarette and strap shoes on my feet"
"current","Lighting match sticks to light my cigarette sticks hahaha yey"
"current","Lights a cigarette up and starts smoking On the bench"
"current","Lights a cigarette ""Here's to another night of nightmares """
"current","Lights yet another cigar This is starting to become a problem"
"current","Like i really rather just be in my zone gettimg money and smoking"
"current","Lil sublime and a cigarette under the stars"
"current","Link at the Hooka in east town 8 30"
"current","Listening to AC DC n smoking Marlboros"
"current","listening to Freak amp smoking a cigarette outside of the local liquor store"
"current","Listening to happy hardcore and writing a Russian paper while smoking quality hookah Yus"
"current","Listening to music and hitting an e cig is the best feeling ever"
"current","listening to panic @ the disco at 2 am in my bed alone smoking a cigarette"
"current","listening to whitney smoking a cig wearing skinny jeans and a flannel ive done it folks i've reached peak hipster trash mode"
"current","Listens to Mac DeMarco while smoking a cig"
"not-current","Lit a cig n accidentally dropped it in the snow walking up stairs"
"current","Lit my cig backwards Yum"
"not-current","Lit my cigarette too close to my face and burnt my facial hair"
"current","lit the wrong end of the cig just like -MENTION-"
"not-current","Literally haven't vaped in forever saw the SV Mi One and fell in love all over again ITS SO MINI AND CUTE #Vapenation #vapefam #vapelife"
"current","living off cheap cigarettes and cheaper vodka"
"not-current","lol i hit a vape once and my friends ignore me"
"not-current","LOL I WALK ALL THE WAY INFRONT OF THE BIN I FLICK MY CIGG MISSED COMPLETELY LOL FUCK"
"current","Lol my parents would rather me smoke inside my house than outside in my car not complaining though"
"current","Lol this month pay from saf not even enough to buy one packet of ciggs siao liao lor everyday white rice soy sauce liao"
"current","Lone Star Hoolahs having a car meet starting at 12 Swing through for some nasty hip hop and hookah and carssss"
"current","look at this cool vape trick"
"current","Looking forward and bit excited to my 1st vape Lol"
"current","Lost my ecig and I'm going insane"
"current","Lost my juul how do I relieve my stress"
"current","lost my whole unpack cigg somewhere amp somehow"
"current","Loud music and fast cars puffing on ma cigar"
"current","Love coughing up a lung and then immediately smoking another cig"
"current","Love having my own house I can smoke a cig in my living room naked"
"current","Love love love my new Vape"
"current","Love the Vype Pebble"
"current","Lowkey wanna go to a hookah lounge"
"current","lulu can you teach me how to vape"
"not-current","Mad af I lost my fone at the hookah bar"
"not-current","Mad went to go set up my hookah amp amp amp I have no coals tragic"
"current","Made it to Japan after a 10 hour flight I need a smoke"
"not-current","Made my homework and I'm proud needed a cigarette doing it because of the stress but I made it"
"current","man it's cold as fuck I wish I was laid up watching a damn movie Smoking on some hooka like I usually would be doin"
"current","man shes not ready im here at the entrance of the cave sweating needing a cig asshole clenched im too excite"
"current","Marlbies going up again Rollies now on #blahhh #cig #brokelife #groddy"
"current","maya told me i'm smoking to deal with my anxiety and depression YALLLLLLLLLL THIS GIRL IS COmpletely right help"
"current","Me goes for run while smoking cigs"
"current","me amp erik just sitting outside smoking like there ain't no damn storm lol"
"current","me and my juul make such a cute couple"
"current","me and my mama can argue then be smoking and drinking 30 mins later"
